;;;;;;;;;;;;;;;;;x
greater_norway_title;Greater Norway;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greater_norway_desc;We are a power to be reckoned with. It is time that we claimed the lands that are part of our heritage!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_life_in_the_new_world_title;A New Life in the New World;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
new_life_in_the_new_world_desc;With the large political freedom that's enjoyed in our country, there's a new proposal in the upper house to boost our numbers: large numbers of Europeans can be brought to our country to work in the fields, their travel being paid by the $COUNTRY_ADJ$ government. Propaganda, incentives, paid travel tickes and treaties can be signed with other governments so to increase the number of immigrants that arrive in our country. Come start a new life in $COUNTRY$!;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_neuchatel_prussia_title;Integrate Neuchâtel;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_neuchatel_prussia_desc;The Neuchâtel Crisis was resolved in our favor, and we may now declare Neuchâtel an integral part of our nation.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_neuchatel_title;Declare the Neuchâtel Republic;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_neuchatel_desc;The Neuchâtel Crisis was resolved in our favor, and we may now declare the Neuchâtel Republic an integral part of our nation.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrating_rgs_title;Integrate Rio Grande do Sul;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrating_rgs_desc;Rio Grande do Sul, claimed by Brazil as part of their nation, is now in a position that facilitates their return to Brazil. We can broke a deal and oversee that the state returns to its former union.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrating_bahia_title;Integrate Bahia;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrating_bahia_desc;Bahia, claimed by Brazil as part of their nation, is now in a position that facilitates their return to Brazil. We can broke a deal and oversee that the state returns to its former union.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrating_pernambuco_title;Integrate Pernambuco;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrating_pernambuco_desc;Pernambuco, claimed by Brazil as part of their nation, is now in a position that facilitates their return to Brazil. We can broke a deal and oversee that the state returns to its former union.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
heavenly_capital_title;The Heavenly Capital;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
heavenly_capital_desc;Our forces have capture Nanjing, the Ming dynasty's former capital, and we now can decree it the Heavenly Capital - Tianjing.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abolish_heavenly_capital_title;Nanjing Recaptured;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abolish_heavenly_capital_desc;Our forces have capture Nanjing, the Ming dynasty's former capital, renamed Tianjing by the Taiping rebels. We need to clear the rebel stain and restore the city's historical name.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
champassak_integration_act_title;Centralizing Champasak;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
champassak_integration_act_desc;Champasak has existed as our vassal for decades, but as our country modernizes, we must also centralize the administration. It's time to bring them in the fold.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_tibet_title;Claim Tibet;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_tibet_desc;Tibet has long been a part of China, but during the period of chaos it broke free. It's time to return the wayard son to its motherland.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_totalitarian_regime_title;The Totalitarian System;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_totalitarian_regime_desc;We must finish once and for all with the neutrality of chess. We must condemn once and for all the formula 'chess for the sake of chess', like the formula 'art for art's sake'. We must organize shockbrigades of chess-players, and begin immediate realization of a Five-Year Plan for chess. Our nation took all the necessary steps and the framework for a new kind of political system, a political system in which the state holds total authority over the society and seeks to control all aspects of public and private life wherever possible. We must make all this official, tie the loose ends, and establish absolute control over society.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ideological_indoctrination_fascist_title;Ideological Indoctrination and Mass Propaganda;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ideological_indoctrination_fascist_desc;$COUNTRY$ recognizes that the foundation of our system depends upon complete dedication of the people to the state through education in the broad fields of engineering, the natural sciences, the life sciences and social sciences, along with basic education. With the fascist takeover, fascist ideology began to permeate the educational system and indoctrination is crucial to the success of the revolution and the perseverance of $COUNTRY$.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ideological_indoctrination_communist_title;Ideological Indoctrination and Mass Propaganda;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ideological_indoctrination_communist_desc;$COUNTRY$ recognizes that the foundation of our system depends upon complete dedication of the people to the state through education in the broad fields of engineering, the natural sciences, the life sciences and social sciences, along with basic education. With the communist takeover, communist ideology began to permeate the educational system and indoctrination is crucial to the success of the revolution and the perseverance of $COUNTRY$.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_cult_of_personality_title;The Cult of Personality;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_cult_of_personality_desc;Thank you, $MONARCHTITLE$. Thank you because I am joyful. Thank you because I am well. No matter how old I become, I shall never forget how we received $MONARCHTITLE$ two days ago. Centuries will pass, and the generations still to come will regard us as the happiest of mortals, as the most fortunate of men, because we lived in the century of centuries, because we were privileged to see $MONARCHTITLE$, our inspired leader... Everything belongs to thee, chief of our great country. And when the woman I love presents me with a child the first word it shall utter will be: $MONARCHTITLE$...;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_fascist_terror_title;The Purge;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_fascist_terror_desc;In this hour I'm responsible for the fate of the $COUNTRY_ADJ$ people, and thereby I became the supreme judge of the $COUNTRY_ADJ$ people. I gave the order to shoot the ringleaders in this treason, and I further gave the order to cauterize down to the raw flesh the ulcers of this poisoning of the wells in our domestic life. Let the nation know that its existence — which depends on its internal order and security — cannot be threatened with impunity by anyone! And let it be known for all time to come that if anyone raises his hand to strike the State, then certain death is his lot.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_red_terror_title;The Great Patriotic Purge;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_red_terror_desc;To overcome our enemies we must have our own socialist militarism. We must carry along with 90 percent out of the total population of $COUNTRY$. As for the rest, we have nothing to say to them. They must be annihilated. Do not look in the file of incriminating evidence to see whether or not the accused rose up against the proletariat with arms or words. Ask him instead to which class he belongs, what is his background, his education, his profession. These are the questions that will determine the fate of the accused. That is the meaning and essence of the Red Terror.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_iran_title;Greater Iran;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_iran_desc;Iran has been historically humiliated by other powers, not least with the treaties of Gulista and Turkmanchey. The lands in the fringe of Iranian control fell to our enemies or to anarchy and our lands were taken away. It's now time that to brush away this humiliating treaties and return the Iranian people and the Iranian lands back to our control.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
travel_to_europe_title;Travel to Europe;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
travel_to_europe_desc;Naser al-Din was the first Iranian sovereign to travel to Europe and thus settled a short-lived but important tradition of the Qajar dynasty. He went in 1873-and was appointed by Queen Victoria a Knight of the Order of the Garter, the highest English order of chivalry - and then again in 1878 - when he saw a Royal Navy Fleet Review - and finally in 1889. He was reportedly amazed with the technology he saw and wrote a wildly popular diary which got published in several languages including Iranian, German, French, and Dutch.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
appoint_mirza_title;Appoint Mirza Taghi;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
appoint_mirza_desc;Mirza Taghi Khan Farahani known as Amir Kabir, was chief minister to Naser al-Din Shah Qajar, the Shah of Persia, for the first three years of his reign and one of the most capable and innovative figures to appear in the whole Qajar period. Born in Hazaveh and put to death in 1852, he is a controversial historical figure: considered by some to be Iran's first reformer and wildly respected by liberal nationalists, he is seen as a modernizer who was unjustly struck down while attempting to bring gradual reform to the country.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
persian_cinema_title;Iranian Cinema;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
persian_cinema_desc;During his first visit in Europe, the Shah Mozaffar ad-Din was introduced to the "cinematographe" in Paris, France. Immediately falling in love with the silver screen the Shah ordered his personal photographer to acquire all the equipment and knowledge needed to bring the moving picture to Persia, thus starting the "Iranian cinema" which quickly became popular.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
renaming_act_back_lushun_title;The Lüshun Port;;;;;;;;;;;;;;;;;x
renaming_act_back_lushun_desc;The small port city of Lüshun is now back in our hands. The barbarians foreigners who took it renamed it, its streets and and locations, in many foreign names in an attempt to claim the area. It's time we erased their influence from the area.;;;;;;;;;;;;;;;;;x
annex_limburg_NET_title;Annex Limburg;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_limburg_NET_desc;The Duchy of Limburg, made sovereign to compensate the Germans with the loss of Luxembourg in their customs union, became an outdated and unnecessary concept. The preparations are done and we may annex Limburg to the Netherlands now. The conditions are right and the germans won't protest this move.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_limburg_title;Annex Limburg;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_limburg_desc;Limburg is liberated, and as a part of the old German Confederation, it should be annexed as an integral part of our country.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_the_finnish_title;Abandon the Finnish;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_the_finnish_desc;Our Nordic brothers fear that we may try to control the Scandinavian union by using a Finnish and $COUTNRY_ADJ$ majority. One of the requirements, the thing they are adamant, is that we guarantee only Nordic people will be allowed, each represented equally. Perhaps in the future we can sway their resolve, but for now, if we ever hope to achieve an union we will have to remove the Finns from positions of power and relegate to second class citizens status.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_finland_title;Claim Finland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_finland_desc;Finland was, historically, part of Sweden and it's an integral part of Fennoscandia - the natural extension of Scandinavia. A whole and united Scandinavia requires nothing less than Finland.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_the_finns_title;Embrace the Finnish;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_the_finns_desc;While the concept of Scandinavism or Nordism originally excluded the Finnish, our liberal government is discussing an expansion of the concept to include the Finnish on the basis of their historical ties with the Swedish. This ought to generate a big debate in our society, but we believe that the inclusion of the Finnish willgreatly benefit our country.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
build_titanic_title;Build the Titanic;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
build_titanic_desc;A few financiers approached the government with the proposal to build one of the biggest ships ever built, dubbing it the Titanic. This Olympic-class ship will be 882 feet 9 inches (269.06 m) long with a maximum breadth of 92 feet 6 inches (28.19 m). Its total height, measured from the base of the keel to the top of the bridge, will be 104 feet (32 m). It will measure 46,328 gross register tons and with a draught of 34 feet 7 inches (10.54 m), weighting 52,310 tons. It will be able to take up to 3,327 people and for its maiden voyage it will have no less than the task of crossing the ocean.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
alexander_reforms_title;Enact Alexander's Reforms;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
alexander_reforms_desc;The disastrous outcomes of the last war prompted the tzar, Alexander II, to consider reforms, particularly the abolition of serfdom. By bringing an end to this medieval concept, in effect a form of bonded slavery, Alexander hoped that agricultural production could be modernized and made more efficient. This would assist the transformation of Russia from a backward agricultural economy into a modern industrial and capitalist economy. More urgently, Alexander agreed to other liberalizations of Russian society. Among these were the creation of representative bodies called zemstva, in effect a form of local government in villages and provinces, given authority to dispense education, charitable relief and other services. The 'reformer tzar' also ordered the reformation of the army and navy, the implementation of new legal processes and an overhaul of the penal code.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
found_suez_canal_company_title;Found the Suez Canal Company;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
found_suez_canal_company_desc;The prospect of building a canal in the Suez has grown a serious interest in the area and the potential profit it might bring. By establishing a $COUNTRY_ADJ$ Canal Company we can assert our dominance in Egypt and get a step closer to start building the canal.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_somalia_title;Organize Somalia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_somalia_desc;The Somali Sultanates would better serve us if they were organized and centralized under our rule.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassalize_trucial_states_title;The Trucial Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
vassalize_trucial_states_desc;Ambitions of other Great Powers in the area of the Trucial States are increasing, and it's time to tight our influence on them. Under a new threaty, the sheikhs agreed not to dispose of any territory except to the $COUNTRY$ and not to enter into relationships with any foreign government other than the $COUNTRY$ without its consent. In return, the $COUNTRY_ADJ$ promised to protect the Trucial Coast from all aggression by sea and to help in case of land attack. This treaty, the Exclusive Agreement, is to be signed by the Rulers of Abu Dhabi, Dubai, Sharjah, Ajman Ras Al Khaimah and Umm Al Quwain.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_bahrain_qatar_peninsula_title;Claim Bahrain-Qatar;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_bahrain_qatar_peninsula_desc;The small peninsula in the Persian Gulf where Bahrain and Doha are located have long been dominated by Arab families and small sheikhdoms. The borders are volatile and our country rulers have claimed the area more than once in history.
It's time to once again claim our land there and conquer the peninsula.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_bahrain_trucial_states_title;Integrate Bahrain in the Trucial Pact;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_bahrain_trucial_states_desc;The Trucial States were a group of sheikhdoms in the south eastern Persian Gulf, previously known to the British as the 'Pirate Coast', which were signatories to treaties (hence 'trucial') with the British government. These treaties established an informal protectorate by Great Britain and the sheikhdoms, or emirates, were a British protectorate. Now, our protectorate over them and over Bahrain raised the possibility of centralizing our protection even more by adding the sultan of Bahrain to the pact.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_qatar_trucial_states_title;Integrate Doha in the Trucial Pact;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
