;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME500061;The Neuchatel Crisis;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC500061;The end of the Neuchatel crisis is upon us, and it was decided on our favor. The german claims on the land are all but unrecognized.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPT500061A;Great!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME3697014;The Rulers of Arabia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC3697014;Our prominent position in Arabia brought us an unique opportunity: we can establish embassies and support the various independent states in the peninsula, greatly increasing our relation with them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT3697014OPTA;We should have good relations with our neighbors.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT3697014OPTB;There's no need for this.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME315001;The End of the Australian Gold Rush;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC315001;Several mines in Western Australia have been drying up and finally stopped producing gold. Now, other locations are being prospected for gold and this is leading a severe change in the production and demographics of our country.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA315001;Let's hope they find more gold.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME33040;An Industrialized Society;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC33040;After much of the German society moving from the fields to the cities and Germany enjoying a large birthrate boom during the 19th century, it seems this trend is dying off. Families are now having less children and overall birthrates are not as big as before as the cities and fields become more and more crowded.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT33040OPTA;But that won't slow Germany down.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME37240;Abd al-Qadir's Insurrection;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37240;In 1871 the civil authorities repudiated guarantees made to tribal chieftains by the previous military government for loans to replenish their seed supply. This act alienated even pro-$COUNTRY_ADJ$ Muslim leaders, while it undercut their ability to control their people. It was against this background of misery and hopelessness that the stricken Kabyles rose in revolt. The revolt was triggered by the extension of civil authority to previously self-governing tribal reserves and the abrogation of commitments made by the military government, but it clearly had its basis in more long-standing grievances.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT37240OPTA;They will be put down.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME113901;The Welcome Stranger;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC113901;Some prospectors in Ballarat have struck a huge gold nugget, found only 3 cm below the surface, near a bark of a tree on a slope leading to what is known as Bulldog Gully. Its gross weight is 109.59 kg and the trimmed weight is 78 kg. At the time of the discovery there were no scales capable of weighing a nugget this large, so it was broken into three pieces on an anvil by Dunolly-based blacksmith Archibald Wall. The nugget was soon melted down and the gold was sent as ingots to Melbourne for forwarding to the Bank of $COUNTRY$. It still remains the biggest gold nugget ever found.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA113901;We are going to need a big box.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME113900;Country Gold Rush;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC113900;News of the newfound wealth in one of our provinces and our country-wide gold rush spread to Europe, sparking a wave of immigration to our country.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA113900;Where's my pickax?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME6016809;The Thaw;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC6016809;The thaw of the former dictatorship meant that the oppressive political machine it established is slowly being dismantled and dissident voices are not being silenced anymore.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT6016809PTA;No more ideological persecution.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME900020;A Silver Age;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC900020;While the Qajar dynasty rule over Persia was unanimously seen mediocre, the ascension of Naser al-Din to the Sun Throne became its peak. An early reformer, good diplomat and a capable leader, he kept a firm grip on the absolute power of the monarchy while keeping foreign influence from tearing the country apart. An era of stability, peace and relative prosperity.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT900020OPTA;Long Live The King!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME900021;Assassination of the Shah;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC900021;On the cursed morning of $YEAR$, Naser al-Din was assassinated by Mirza Reza Kermani, a follower of Jamal al-Din al-Afghani, when he was visiting and praying in the shrine of Shah-Abdol-Azim. It is said that the revolver used to assassinate him was old and rusty, and had he worn a thicker overcoat, or been shot from a longer range, he would have survived the attempt on his life. Shortly before his death, he is reported to have said "I will rule you differently if I survive!".;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT900021OPTA;Horror!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME34616;The Neuchâtel Crisis;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC34616;In $YEAR$, the Neuchâtel question threatens to spark a crisis. In the canton there was an unsuccessful pro-Prussian coup d'etat conducted by loyalist aristocrats under the leadership of members of the family of Pourtalès. When its leaders were arrested, Frederick William appealed to the Swiss Federal Council for their release. The Swiss are persisting that the rebels must be brought to trial and meanwhile, the Prussians are preparing for war. We must try to find a diplomatic solutions for this crisis.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA34616;We will side with Switzerland, their neutrality must be protected.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB34616;We will side with the Prussians.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTC34616;We have no interest in getting involved.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME34615;The Neuchâtel Crisis;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC34615;In $YEAR$, the Neuchâtel question threatens to spark a crisis. In the canton there was an unsuccessful pro-Prussian coup d'etat conducted by loyalist aristocrats under the leadership of members of the family of Pourtalès. When its leaders were arrested, Frederick William appealed to the Swiss Federal Council for their release. Negotiations are underway and the Swiss agreed to release the hostages and don't punish them if we agree to give up our claims.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA34615;Cut diplomatic relations with Switzerland and begin preparations for war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB34615;We agree to their terms.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME34614;Neuchâtel Lost;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC34614;The fall of the monarchy in our country means our old claims in Neuchâtel were also lost. The canton is now free to join Switzerland as an integral part of their country and has no ties to us at all.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA34614;We didn't need them anyway.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME34613;The Neuchâtel Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC34613;The Congress of Vienna (1814–15), in its general settlement of territorial questions after the Napoleonic Wars, ordained that Neuchâtel (or Neuenburg) should have a dual status: it was to be a canton of the reorganized Swiss Confederation and, at the same time, a hereditary principality belonging personally to the king of Prussia but separate from the Prussian kingdom. This arrangement caused dissatisfaction among the people of Neuchâtel, and in $YEAR$, when the Swiss were revising their constitution and when France, Germany, Austria, and Italy were all being shaken by revolutionary movements, a successful insurrection established a republic there.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA34613;The $COUNTRY_ADJ$ $MONARCHTITLE$ is the right ruler of Neuchâtel.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB34613;We renounce all our claims in Neuchâtel.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME952517;The Limburg Crisis;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC952517;The Germans of $FROMCOUNTRY$ are claiming the Duchy of Limburg as part of their territory. This is started because of the Dutch move to annex the territory as the fall of the German customs union created a fear of a German claim in the area. The Dutch will surely fall if they have to fend the Germans by themselves but they only need six months to finish annexating the territory. As Great Power, we need to declare our position on the matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT952517OPTA;German violation of Dutch territory will not be tolerated.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
