# Hungary Flavor Mod;;;;;;;;;;;;;;x
primus_inter_pares_title;Primus Inter Pares;Primus Inter Pares;Primus Inter Pares;;;;;;;;;;;x
primus_inter_pares_desc;The kings of Hungary very rarely held absolute power, but was rather considered to be first among equals among the aristocracy. From very early on, although primogeniture was in effect, kings had to also be elected by the Estates before coronation. During later ages, certain aristocrats even gained the right of insurgency, should the king act tyrannically. Now, at the dawn of a New Age, the evolution of state, government and political parties made reforms necessary. It is time for our Monarch, in accordance with the Estates, to give a Constitution to His people, so we might step up to the challanges of this New Era.;The kings of Hungary very rarely held absolute power, but was rather considered to be first among equals among the aristocracy. From very early on, although primogeniture was in effect, kings had to also be elected by the Estates before coronation. During later ages, certain aristocrats even gained the right of insurgency, should the king act tyrannically. Now, at the dawn of a New Age, the evolution of state, government and political parties made reforms necessary. It is time for our Monarch, in accordance with the Estates, to give a Constitution to His people, so we might step up to the challanges of this New Era.;The kings of Hungary very rarely held absolute power, but was rather considered to be first among equals among the aristocracy. From very early on, although primogeniture was in effect, kings had to also be elected by the Estates before coronation. During later ages, certain aristocrats even gained the right of insurgency, should the king act tyrannically. Now, at the dawn of a New Age, the evolution of state, government and political parties made reforms necessary. It is time for our Monarch, in accordance with the Estates, to give a Constitution to His people, so we might step up to the challanges of this New Era.;;;;;;;;;;;x
tizenket_pont_title;Kívánjuk a sajtó szabadságát, a cenzúra eltörlését!;Kívánjuk a sajtó szabadságát, a cenzúra eltörlését!;Kívánjuk a sajtó szabadságát, a cenzúra eltörlését!;;;;;;;;;;;x
tizenket_pont_desc; ' We demand the freedom of the press, and the abolition of censorship!' The first of twelve demands drafted by Mór Jókai and Sándor Petöfi, two young poets, during the Revolution of Pest 15th March 1848. To conclude the Springtime of Nations, we should enact more liberal press and voting rights to appease the (hopefully) rising Middle Class.; ' We demand the freedom of the press, and the abolition of censorship!' The first of twelve demands drafted by Mór Jókai and Sándor Petöfi, two young poets, during the Revolution of Pest 15th March 1848. To conclude the Springtime of Nations, we should enact more liberal press and voting rights to appease the (hopefully) rising Middle Class.; ' We demand the freedom of the press, and the abolition of censorship!' The first of twelve demands drafted by Mór Jókai and Sándor Petöfi, two young poets, during the Revolution of Pest 15th March 1848. To conclude the Springtime of Nations, we should enact more liberal press and voting rights to appease the (hopefully) rising Middle Class.;;;;;;;;;;;x
king_of_rama_title;King of Rama;King of Rama;King of Rama;;;;;;;;;;;x
king_of_rama_desc;The Balkans, and Bosnia, in particular, have always been a direction of Hungarian expansionism. The kings of Hungary even adopted the title King of Rama to declare their direct or indirect control over the region, but with the Ottoman onslaught, these lands were lost. Now, we have the power to revive the title and reclaim the land.;The Balkans, and Bosnia, in particular, have always been a direction of Hungarian expansionism. The kings of Hungary even adopted the title King of Rama to declare their direct or indirect control over the region, but with the Ottoman onslaught, these lands were lost. Now, we have the power to revive the title and reclaim the land.;The Balkans, and Bosnia, in particular, have always been a direction of Hungarian expansionism. The kings of Hungary even adopted the title King of Rama to declare their direct or indirect control over the region, but with the Ottoman onslaught, these lands were lost. Now, we have the power to revive the title and reclaim the land.;;;;;;;;;;;x
dalmatian_patrimony_title;The Dalmatian Coast;The Dalmatian Coast;The Dalmatian Coast;;;;;;;;;;;x
dalmatian_patrimony_desc;Ever since King László I conquered and formed a personal union with Croatia, the Dalmatian Coast has been in the Hungarian sphere of influence, constantly contested by either the Byzantines or the Venetians. Unfortunately, this land, along with many others, also fell to the Ottomans, so we should take steps to reclaim it.;Ever since King László I conquered and formed a personal union with Croatia, the Dalmatian Coast has been in the Hungarian sphere of influence, constantly contested by either the Byzantines or the Venetians. Unfortunately, this land, along with many others, also fell to the Ottomans, so we should take steps to reclaim it.;Ever since King László I conquered and formed a personal union with Croatia, the Dalmatian Coast has been in the Hungarian sphere of influence, constantly contested by either the Byzantines or the Venetians. Unfortunately, this land, along with many others, also fell to the Ottomans, so we should take steps to reclaim it.;;;;;;;;;;;x
kaiser_und_konig_title;Kaiser und König!;Kaiser und König!;Kaiser und König!;;;;;;;;;;;x
kaiser_und_konig_desc;The throne of Hungary has been a long desired ambition of the Habsburg Dynasty, many wars have been fought over disputed successions. Now, we have finally gained the upper hand over Hungary, and our influence allows us to form a personal union with them. So we might attempt to integrate them to our Reich. The rest of the World however, might not view favorably this sudden upset in the balance of powers, not even mentioning the locals.;The throne of Hungary has been a long desired ambition of the Habsburg Dynasty, many wars have been fought over disputed successions. Now, we have finally gained the upper hand over Hungary, and our influence allows us to form a personal union with them. So we might attempt to integrate them to our Reich. The rest of the World however, might not view favorably this sudden upset in the balance of powers, not even mentioning the locals.;The throne of Hungary has been a long desired ambition of the Habsburg Dynasty, many wars have been fought over disputed successions. Now, we have finally gained the upper hand over Hungary, and our influence allows us to form a personal union with them. So we might attempt to integrate them to our Reich. The rest of the World however, might not view favorably this sudden upset in the balance of powers, not even mentioning the locals.;;;;;;;;;;;x
halych_dominion_title;The Halych Claims;The Halych Claims;The Halych Claims;;;;;;;;;;;x
halych_dominion_desc;Halych and other Principalities of the Kievan Rus were another popular direction of expansionism of Hungary during the Medieval times. Countless campaigns were led to exert control over the region. King András II was even crowned King of Halych. Now, we have enough power and influence in the World, to revive our claims on the region. However, that was a long time ago, and did not last even then, so other Powers might not view us favorably, should we press these claims.;Halych and other Principalities of the Kievan Rus were another popular direction of expansionism of Hungary during the Medieval times. Countless campaigns were led to exert control over the region. King András II was even crowned King of Halych. Now, we have enough power and influence in the World, to revive our claims on the region. However, that was a long time ago, and did not last even then, so other Powers might not view us favorably, should we press these claims.;Halych and other Principalities of the Kievan Rus were another popular direction of expansionism of Hungary during the Medieval times. Countless campaigns were led to exert control over the region. King András II was even crowned King of Halych. Now, we have enough power and influence in the World, to revive our claims on the region. However, that was a long time ago, and did not last even then, so other Powers might not view us favorably, should we press these claims.;;;;;;;;;;;x
polish_enclave_title;The Polish Enclave;The Polish Enclave;The Polish Enclave;;;;;;;;;;;x
polish_enclave_desc;By conquering Galicia large number of Poles came to be under our rule. Poland and Hungary have maintained friendly relationship throughout the late Middle and the early Modern Ages. Being locked in a never ending struggle with the Ottomans and the Habsburgs, wewere in no position to prevent Russia, Prussia, and Austria to divide Poland among eachother. Because they still do not have a nation of their own, and to acknowledge our people's special relationship, we should give Polish citizens residency, so they might have a place to call home.;By conquering Galicia large number of Poles came to be under our rule. Poland and Hungary have maintained friendly relationship throughout the late Middle and the early Modern Ages. Being locked in a never ending struggle with the Ottomans and the Habsburgs, wewere in no position to prevent Russia, Prussia, and Austria to divide Poland among eachother. Because they still do not have a nation of their own, and to acknowledge our people's special relationship, we should give Polish citizens residency, so they might have a place to call home.;By conquering Galicia large number of Poles came to be under our rule. Poland and Hungary have maintained friendly relationship throughout the late Middle and the early Modern Ages. Being locked in a never ending struggle with the Ottomans and the Habsburgs, wewere in no position to prevent Russia, Prussia, and Austria to divide Poland among eachother. Because they still do not have a nation of their own, and to acknowledge our people's special relationship, we should give Polish citizens residency, so they might have a place to call home.;;;;;;;;;;;x
croatian_compromise_title;The Croatian Compromise;The Croatian Compromise;The Croatian Compromise;;;;;;;;;;;x
croatian_compromise_desc;Originally signed in 1868, based on the Austro-Hungarian Compromise a year before, the Croatian Compromise acknowledged the long standing autonomy of Croatia within Hungary. It allowed the formation of a Croatian Parliament and gave seats to Croatian MPs in Budapest. With this Compromise, we recognise Croatians as full right citizens of our state. ;Originally signed in 1868, based on the Austro-Hungarian Compromise a year before, the Croatian Compromise acknowledged the long standing autonomy of Croatia within Hungary. It allowed the formation of a Croatian Parliament and gave seats to Croatian MPs in Budapest. With this Compromise, we recognise Croatians as full right citizens of our state. ;Originally signed in 1868, based on the Austro-Hungarian Compromise a year before, the Croatian Compromise acknowledged the long standing autonomy of Croatia within Hungary. It allowed the formation of a Croatian Parliament and gave seats to Croatian MPs in Budapest. With this Compromise, we recognise Croatians as full right citizens of our state. ;;;;;;;;;;;x
romanian_compromise_title;The Romanian Compromise;The Romanian Compromise;The Romanian Compromise;;;;;;;;;;;x
