#;#;#;#;#;#;#;#;#;#;#;#;#;#;x
EVTNAME811100;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;x
EVTDESC811100;Our nation, $COUNTRY$, is a domain of the great British Empire.;Our nation, $COUNTRY$, is a domain of the great British Empire.;Our nation, $COUNTRY$, is a domain of the great British Empire.;Our nation, $COUNTRY$, is a domain of the great British Empire.;Our nation, $COUNTRY$, is a domain of the great British Empire.;Our nation, $COUNTRY$, is a domain of the great British Empire.;Our nation, $COUNTRY$, is a domain of the great British Empire.;Our nation, $COUNTRY$, is a domain of the great British Empire.;Our nation, $COUNTRY$, is a domain of the great British Empire.;Our nation, $COUNTRY$, is a domain of the great British Empire.;Our nation, $COUNTRY$, is a domain of the great British Empire.;Our nation, $COUNTRY$, is a domain of the great British Empire.;Our nation, $COUNTRY$, is a domain of the great British Empire.;x
EVTOPTA811100;By the Grace of God!;By the Grace of God!;By the Grace of God!;By the Grace of God!;By the Grace of God!;By the Grace of God!;By the Grace of God!;By the Grace of God!;By the Grace of God!;By the Grace of God!;By the Grace of God!;By the Grace of God!;By the Grace of God!;x
EVTNAME811101;Reaction to $FROMCOUNTRY_ADJ$ Independence;Reaction to $FROMCOUNTRY_ADJ$ Independence;Reaction to $FROMCOUNTRY_ADJ$ Independence;Reaction to $FROMCOUNTRY_ADJ$ Independence;Reaction to $FROMCOUNTRY_ADJ$ Independence;Reaction to $FROMCOUNTRY_ADJ$ Independence;Reaction to $FROMCOUNTRY_ADJ$ Independence;Reaction to $FROMCOUNTRY_ADJ$ Independence;Reaction to $FROMCOUNTRY_ADJ$ Independence;Reaction to $FROMCOUNTRY_ADJ$ Independence;Reaction to $FROMCOUNTRY_ADJ$ Independence;Reaction to $FROMCOUNTRY_ADJ$ Independence;Reaction to $FROMCOUNTRY_ADJ$ Independence;x
EVTDESC811101;The government of $FROMCOUNTRY$ has issued a declaration of independence, citing several grievances with our government. Shall we tolerate their attempt to secede from our Empire?;The government of $FROMCOUNTRY$ has issued a declaration of independence, citing several grievances with our government. Shall we tolerate their attempt to secede from our Empire?;The government of $FROMCOUNTRY$ has issued a declaration of independence, citing several grievances with our government. Shall we tolerate their attempt to secede from our Empire?;The government of $FROMCOUNTRY$ has issued a declaration of independence, citing several grievances with our government. Shall we tolerate their attempt to secede from our Empire?;The government of $FROMCOUNTRY$ has issued a declaration of independence, citing several grievances with our government. Shall we tolerate their attempt to secede from our Empire?;The government of $FROMCOUNTRY$ has issued a declaration of independence, citing several grievances with our government. Shall we tolerate their attempt to secede from our Empire?;The government of $FROMCOUNTRY$ has issued a declaration of independence, citing several grievances with our government. Shall we tolerate their attempt to secede from our Empire?;The government of $FROMCOUNTRY$ has issued a declaration of independence, citing several grievances with our government. Shall we tolerate their attempt to secede from our Empire?;The government of $FROMCOUNTRY$ has issued a declaration of independence, citing several grievances with our government. Shall we tolerate their attempt to secede from our Empire?;The government of $FROMCOUNTRY$ has issued a declaration of independence, citing several grievances with our government. Shall we tolerate their attempt to secede from our Empire?;The government of $FROMCOUNTRY$ has issued a declaration of independence, citing several grievances with our government. Shall we tolerate their attempt to secede from our Empire?;The government of $FROMCOUNTRY$ has issued a declaration of independence, citing several grievances with our government. Shall we tolerate their attempt to secede from our Empire?;The government of $FROMCOUNTRY$ has issued a declaration of independence, citing several grievances with our government. Shall we tolerate their attempt to secede from our Empire?;x
EVTOPTA811101;We must crush the $FROMCOUNTRY_ADJ$ rebellion!;We must crush the $FROMCOUNTRY_ADJ$ rebellion!;We must crush the $FROMCOUNTRY_ADJ$ rebellion!;We must crush the $FROMCOUNTRY_ADJ$ rebellion!;We must crush the $FROMCOUNTRY_ADJ$ rebellion!;We must crush the $FROMCOUNTRY_ADJ$ rebellion!;We must crush the $FROMCOUNTRY_ADJ$ rebellion!;We must crush the $FROMCOUNTRY_ADJ$ rebellion!;We must crush the $FROMCOUNTRY_ADJ$ rebellion!;We must crush the $FROMCOUNTRY_ADJ$ rebellion!;We must crush the $FROMCOUNTRY_ADJ$ rebellion!;We must crush the $FROMCOUNTRY_ADJ$ rebellion!;We must crush the $FROMCOUNTRY_ADJ$ rebellion!;x
EVTOPTB811101;They are traitors, but let us bide our time;They are traitors, but let us bide our time;They are traitors, but let us bide our time;They are traitors, but let us bide our time;They are traitors, but let us bide our time;They are traitors, but let us bide our time;They are traitors, but let us bide our time;They are traitors, but let us bide our time;They are traitors, but let us bide our time;They are traitors, but let us bide our time;They are traitors, but let us bide our time;They are traitors, but let us bide our time;They are traitors, but let us bide our time;x
EVTOPTC811101;It is a foregone conclusion - extend diplomatic recognition;It is a foregone conclusion - extend diplomatic recognition;It is a foregone conclusion - extend diplomatic recognition;It is a foregone conclusion - extend diplomatic recognition;It is a foregone conclusion - extend diplomatic recognition;It is a foregone conclusion - extend diplomatic recognition;It is a foregone conclusion - extend diplomatic recognition;It is a foregone conclusion - extend diplomatic recognition;It is a foregone conclusion - extend diplomatic recognition;It is a foregone conclusion - extend diplomatic recognition;It is a foregone conclusion - extend diplomatic recognition;It is a foregone conclusion - extend diplomatic recognition;It is a foregone conclusion - extend diplomatic recognition;x
EVTNAME811102;Independence or Reform?;Independence or Reform?;Independence or Reform?;Independence or Reform?;Independence or Reform?;Independence or Reform?;Independence or Reform?;Independence or Reform?;Independence or Reform?;Independence or Reform?;Independence or Reform?;Independence or Reform?;Independence or Reform?;x
EVTDESC811102;Drastic political events have made the status quo untenable. British envoys have been exerting diplomatic pressure on us and have demanded in stern terms immediate reforms to our government. Shall we acquiesce to their ultimatum, or seize this opportunity for independence on behalf of the $COUNTRY_ADJ$ people?;Drastic political events have made the status quo untenable. British envoys have been exerting diplomatic pressure on us and have demanded in stern terms immediate reforms to our government. Shall we acquiesce to their ultimatum, or seize this opportunity for independence on behalf of the $COUNTRY_ADJ$ people?;Drastic political events have made the status quo untenable. British envoys have been exerting diplomatic pressure on us and have demanded in stern terms immediate reforms to our government. Shall we acquiesce to their ultimatum, or seize this opportunity for independence on behalf of the $COUNTRY_ADJ$ people?;Drastic political events have made the status quo untenable. British envoys have been exerting diplomatic pressure on us and have demanded in stern terms immediate reforms to our government. Shall we acquiesce to their ultimatum, or seize this opportunity for independence on behalf of the $COUNTRY_ADJ$ people?;Drastic political events have made the status quo untenable. British envoys have been exerting diplomatic pressure on us and have demanded in stern terms immediate reforms to our government. Shall we acquiesce to their ultimatum, or seize this opportunity for independence on behalf of the $COUNTRY_ADJ$ people?;Drastic political events have made the status quo untenable. British envoys have been exerting diplomatic pressure on us and have demanded in stern terms immediate reforms to our government. Shall we acquiesce to their ultimatum, or seize this opportunity for independence on behalf of the $COUNTRY_ADJ$ people?;Drastic political events have made the status quo untenable. British envoys have been exerting diplomatic pressure on us and have demanded in stern terms immediate reforms to our government. Shall we acquiesce to their ultimatum, or seize this opportunity for independence on behalf of the $COUNTRY_ADJ$ people?;Drastic political events have made the status quo untenable. British envoys have been exerting diplomatic pressure on us and have demanded in stern terms immediate reforms to our government. Shall we acquiesce to their ultimatum, or seize this opportunity for independence on behalf of the $COUNTRY_ADJ$ people?;Drastic political events have made the status quo untenable. British envoys have been exerting diplomatic pressure on us and have demanded in stern terms immediate reforms to our government. Shall we acquiesce to their ultimatum, or seize this opportunity for independence on behalf of the $COUNTRY_ADJ$ people?;Drastic political events have made the status quo untenable. British envoys have been exerting diplomatic pressure on us and have demanded in stern terms immediate reforms to our government. Shall we acquiesce to their ultimatum, or seize this opportunity for independence on behalf of the $COUNTRY_ADJ$ people?;Drastic political events have made the status quo untenable. British envoys have been exerting diplomatic pressure on us and have demanded in stern terms immediate reforms to our government. Shall we acquiesce to their ultimatum, or seize this opportunity for independence on behalf of the $COUNTRY_ADJ$ people?;Drastic political events have made the status quo untenable. British envoys have been exerting diplomatic pressure on us and have demanded in stern terms immediate reforms to our government. Shall we acquiesce to their ultimatum, or seize this opportunity for independence on behalf of the $COUNTRY_ADJ$ people?;Drastic political events have made the status quo untenable. British envoys have been exerting diplomatic pressure on us and have demanded in stern terms immediate reforms to our government. Shall we acquiesce to their ultimatum, or seize this opportunity for independence on behalf of the $COUNTRY_ADJ$ people?;x
EVTOPTA811102;Break free of British shackles!;Break free of British shackles!;Break free of British shackles!;Break free of British shackles!;Break free of British shackles!;Break free of British shackles!;Break free of British shackles!;Break free of British shackles!;Break free of British shackles!;Break free of British shackles!;Break free of British shackles!;Break free of British shackles!;Break free of British shackles!;x
EVTOPTB811102;Reform the $COUNTRY_ADJ$ administration!;Reform the $COUNTRY_ADJ$ administration!;Reform the $COUNTRY_ADJ$ administration!;Reform the $COUNTRY_ADJ$ administration!;Reform the $COUNTRY_ADJ$ administration!;Reform the $COUNTRY_ADJ$ administration!;Reform the $COUNTRY_ADJ$ administration!;Reform the $COUNTRY_ADJ$ administration!;Reform the $COUNTRY_ADJ$ administration!;Reform the $COUNTRY_ADJ$ administration!;Reform the $COUNTRY_ADJ$ administration!;Reform the $COUNTRY_ADJ$ administration!;Reform the $COUNTRY_ADJ$ administration!;x
declare_independence_unilaterally_title;Declare Independence;Declare Independence;Declare Independence;Declare Independence;Declare Independence;Declare Independence;Declare Independence;Declare Independence;Declare Independence;Declare Independence;Declare Independence;Declare Independence;Declare Independence;x
